Date,New Cases
2020-01-22,0
2020-01-23,93
2020-01-24,277
2020-01-25,483
2020-01-26,666
2020-01-27,802
2020-01-28,2632
2020-01-29,576
2020-01-30,2054
2020-01-31,1659
2020-02-01,2088
2020-02-02,4737
2020-02-03,3086
2020-02-04,3989
2020-02-05,3729
2020-02-06,3144
2020-02-07,3522
2020-02-08,2703
2020-02-09,3012
2020-02-10,2516
2020-02-11,2021
2020-02-12,372
2020-02-13,15133
2020-02-14,6460
2020-02-15,2055
2020-02-16,2099
2020-02-17,1918
2020-02-18,1775
2020-02-19,407
2020-02-20,453
2020-02-21,473
2020-02-22,1450
2020-02-23,16
2020-02-24,214
2020-02-25,508
2020-02-26,405
2020-02-27,433
2020-02-28,326
2020-02-29,427
2020-03-01,575
2020-03-02,200
2020-03-03,125
2020-03-04,120
2020-03-05,151
2020-03-06,151
2020-03-07,79
2020-03-08,47
2020-03-09,36
2020-03-10,22
2020-03-11,28
2020-03-12,8
2020-03-13,8
2020-03-14,26
2020-03-15,21
2020-03-16,20
2020-03-17,18
2020-03-18,25
2020-03-19,27
2020-03-20,46
2020-03-21,38
2020-03-22,86
2020-03-23,24
2020-03-24,63
2020-03-25,46
2020-03-26,78
2020-03-27,49
2020-03-28,60
2020-03-29,43
2020-03-30,35
2020-03-31,49
2020-04-01,31
2020-04-02,34
2020-04-03,36
2020-04-04,15
2020-04-05,31
2020-04-06,39
2020-04-07,32
2020-04-08,66
2020-04-09,61
2020-04-10,42
2020-04-11,62
2020-04-12,116
2020-04-13,74
2020-04-14,90
2020-04-15,45
2020-04-16,47
2020-04-17,353
2020-04-18,24
2020-04-19,17
2020-04-20,12
2020-04-21,32
2020-04-22,11
2020-04-23,14
2020-04-24,15
2020-04-25,8
2020-04-26,3
2020-04-27,6
2020-04-28,22
2020-04-29,4
2020-04-30,12
2020-05-01,1
2020-05-02,0
2020-05-03,5
2020-05-04,1
2020-05-05,2
2020-05-06,2
2020-05-07,1
2020-05-08,1
2020-05-09,14
2020-05-10,17
2020-05-11,1
2020-05-12,7
2020-05-13,3
2020-05-14,4
2020-05-15,8
2020-05-16,6
2020-05-17,7
2020-05-18,9
2020-05-19,0
2020-05-20,0
2020-05-21,0
2020-05-22,8
2020-05-23,3
2020-05-24,11
2020-05-25,7
2020-05-26,1
2020-05-27,2
2020-05-28,0
2020-05-29,4
2020-05-30,2
2020-05-31,16
2020-06-01,5
2020-06-02,1
2020-06-03,-1
2020-06-04,5
2020-06-05,3
2020-06-06,6
2020-06-07,4
2020-06-08,3
2020-06-09,3
2020-06-10,11
2020-06-11,7
2020-06-12,11
2020-06-13,57
2020-06-14,49
2020-06-15,40
2020-06-16,44
2020-06-17,28
2020-06-18,32
2020-06-19,0
2020-06-20,55
2020-06-21,16
2020-06-22,22
2020-06-23,13
2020-06-24,18
2020-06-25,14
2020-06-26,21
2020-06-27,17
2020-06-28,12
2020-06-29,19
2020-06-30,3
2020-07-01,3
2020-07-02,5
2020-07-03,3
2020-07-04,8
2020-07-05,4
2020-07-06,1
2020-07-07,14
2020-07-08,9
2020-07-09,0
2020-07-10,0
2020-07-11,13
2020-07-12,8
2020-07-13,0
2020-07-14,9
2020-07-15,1
2020-07-16,14
2020-07-17,17
2020-07-18,16
2020-07-19,21
2020-07-20,11
2020-07-21,13
2020-07-22,25
2020-07-23,21
2020-07-24,34
2020-07-25,46
2020-07-26,61
2020-07-27,68
2020-07-28,101
2020-07-29,105
2020-07-30,127
2020-07-31,45
2020-08-01,48
2020-08-02,43
2020-08-03,36
2020-08-04,27
2020-08-05,37
2020-08-06,37
2020-08-07,31
2020-08-08,23
2020-08-09,49
2020-08-10,44
2020-08-11,19
2020-08-12,25
2020-08-13,30
2020-08-14,22
2020-08-15,19
2020-08-16,22
2020-08-17,22
2020-08-18,17
2020-08-19,7
2020-08-20,22
2020-08-21,22
2020-08-22,12
2020-08-23,16
2020-08-24,14
2020-08-25,15
2020-08-26,8
2020-08-27,9
2020-08-28,9
2020-08-29,9
2020-08-30,17
2020-08-31,10
2020-09-01,7
2020-09-02,12
2020-09-03,25
2020-09-04,10
2020-09-05,10
2020-09-06,12
2020-09-07,9
2020-09-08,3
2020-09-09,7
2020-09-10,15
2020-09-11,6
2020-09-12,10
2020-09-13,10
2020-09-14,8
2020-09-15,12
2020-09-16,9
2020-09-17,32
2020-09-18,14
2020-09-19,10
2020-09-20,12
2020-09-21,6
2020-09-22,10
2020-09-23,7
2020-09-24,8
2020-09-25,15
2020-09-26,14
2020-09-27,21
2020-09-28,12
2020-09-29,19
2020-09-30,9
2020-10-01,12
2020-10-02,10
2020-10-03,16
2020-10-04,20
2020-10-05,12
2020-10-06,7
2020-10-07,9
2020-10-08,23
2020-10-09,15
2020-10-10,21
2020-10-11,27
2020-10-12,7
2020-10-13,20
2020-10-14,11
2020-10-15,24
2020-10-16,13
2020-10-17,13
2020-10-18,13
2020-10-19,19
2020-10-20,11
2020-10-21,14
2020-10-22,18
2020-10-23,31
2020-10-24,15
2020-10-25,17
2020-10-26,16
2020-10-27,42
2020-10-28,47
2020-10-29,25
2020-10-30,33
2020-10-31,24
2020-11-01,24
2020-11-02,49
2020-11-03,17
2020-11-04,28
2020-11-05,36
2020-11-06,33
2020-11-07,28
2020-11-08,33
2020-11-09,22
2020-11-10,17
2020-11-11,15
2020-11-12,8
2020-11-13,18
2020-11-14,13
2020-11-15,8
2020-11-16,14
2020-11-17,9
2020-11-18,12
2020-11-19,17
2020-11-20,16
2020-11-21,17
2020-11-22,11
2020-11-23,22
2020-11-24,5
2020-11-25,21
2020-11-26,5
2020-11-27,6
2020-11-28,11
2020-11-29,18
2020-11-30,12
2020-12-01,9
2020-12-02,17
2020-12-03,18
2020-12-04,15
2020-12-05,18
2020-12-06,15
2020-12-07,15
2020-12-08,12
2020-12-09,12
2020-12-10,15
2020-12-11,13
2020-12-12,24
2020-12-13,16
2020-12-14,17
2020-12-15,12
2020-12-16,7
2020-12-17,12
2020-12-18,17
2020-12-19,23
2020-12-20,23
2020-12-21,15
2020-12-22,15
2020-12-23,17
2020-12-24,14
2020-12-25,20
2020-12-26,22
2020-12-27,21
2020-12-28,27
2020-12-29,24
2020-12-30,25
2020-12-31,19
2021-01-01,18
2021-01-02,28
2021-01-03,33
2021-01-04,33
2021-01-05,32
2021-01-06,63
2021-01-07,53
2021-01-08,33
2021-01-09,69
2021-01-10,103
2021-01-11,55
2021-01-12,115
2021-01-13,138
2021-01-14,144
2021-01-15,130
2021-01-16,109
2021-01-17,109
2021-01-18,118
2021-01-19,103
2021-01-20,144
2021-01-21,111
2021-01-22,100
2021-01-23,80
2021-01-24,124
2021-01-25,82
2021-01-26,75
2021-01-27,54
2021-01-28,52
2021-01-29,52
2021-01-30,92
2021-01-31,42
2021-02-01,30
2021-02-02,25
2021-02-03,30
2021-02-04,20
2021-02-05,13
2021-02-06,11
2021-02-07,14
2021-02-08,14
2021-02-09,14
2021-02-10,2
2021-02-11,12
2021-02-12,8
2021-02-13,7
2021-02-14,9
2021-02-15,16
2021-02-16,7
2021-02-17,11
2021-02-18,10
2021-02-19,8
2021-02-20,7
2021-02-21,11
2021-02-22,10
2021-02-23,12
2021-02-24,7
2021-02-25,6
2021-02-26,10
2021-02-27,6
2021-02-28,19
2021-03-01,11
2021-03-02,10
2021-03-03,10
2021-03-04,9
2021-03-05,10
2021-03-06,13
2021-03-07,19
2021-03-08,8
2021-03-09,5
2021-03-10,11
2021-03-11,9
2021-03-12,7
2021-03-13,10
2021-03-14,5
2021-03-15,13
2021-03-16,4
2021-03-17,6
2021-03-18,11
2021-03-19,4
2021-03-20,12
2021-03-21,7
2021-03-22,9
2021-03-23,10
2021-03-24,11
2021-03-25,11
2021-03-26,12
2021-03-27,11
2021-03-28,12
2021-03-29,8
2021-03-30,11
2021-03-31,16
2021-04-01,9
2021-04-02,26
2021-04-03,20
2021-04-04,33
2021-04-05,24
2021-04-06,12
2021-04-07,25
2021-04-08,21
2021-04-09,14
2021-04-10,10
2021-04-11,16
2021-04-12,9
2021-04-13,12
2021-04-14,10
2021-04-15,11
2021-04-16,15
2021-04-17,16
2021-04-18,11
2021-04-19,10
2021-04-20,21
2021-04-21,6
2021-04-22,19
2021-04-23,9
2021-04-24,13
2021-04-25,11
2021-04-26,11
2021-04-27,12
2021-04-28,20
2021-04-29,13
2021-04-30,16
2021-05-01,15
2021-05-02,11
2021-05-03,17
2021-05-04,7
2021-05-05,5
2021-05-06,13
2021-05-07,7
2021-05-08,12
2021-05-09,11
2021-05-10,14
2021-05-11,16
2021-05-12,9
2021-05-13,7
2021-05-14,14
2021-05-15,18
2021-05-16,26
2021-05-17,22
2021-05-18,14
2021-05-19,12
2021-05-20,24
2021-05-21,10
2021-05-22,19
2021-05-23,18
2021-05-24,16
2021-05-25,13
2021-05-26,19
2021-05-27,7
2021-05-28,16
2021-05-29,11
2021-05-30,27
2021-05-31,23
2021-06-01,24
2021-06-02,24
2021-06-03,24
2021-06-04,24
2021-06-05,30
2021-06-06,19
2021-06-07,33
2021-06-08,16
2021-06-09,22
2021-06-10,22
2021-06-11,35
2021-06-12,34
2021-06-13,23
2021-06-14,20
2021-06-15,21
2021-06-16,19
2021-06-17,23
2021-06-18,31
2021-06-19,23
2021-06-20,17
2021-06-21,25
2021-06-22,24
2021-06-23,16
2021-06-24,24
2021-06-25,25
2021-06-26,14
2021-06-27,22
2021-06-28,18
2021-06-29,9
2021-06-30,12
2021-07-01,18
2021-07-02,23
2021-07-03,15
2021-07-04,22
2021-07-05,23
2021-07-06,57
2021-07-07,17
2021-07-08,23
2021-07-09,26
2021-07-10,0
2021-07-11,51
2021-07-12,29
2021-07-13,24
2021-07-14,28
2021-07-15,36
2021-07-16,30
2021-07-17,33
2021-07-18,31
2021-07-19,65
2021-07-20,0
2021-07-21,73
2021-07-22,48
2021-07-23,72
2021-07-24,-3
2021-07-25,77
2021-07-26,71
2021-07-27,86
2021-07-28,49
2021-07-29,66
2021-07-30,53
2021-07-31,77
2021-08-01,96
2021-08-02,90
2021-08-03,100
2021-08-04,85
2021-08-05,124
2021-08-06,107
2021-08-07,96
2021-08-08,125
2021-08-09,143
2021-08-10,111
2021-08-11,81
2021-08-12,99
2021-08-13,66
2021-08-14,53
2021-08-15,51
2021-08-16,42
2021-08-17,28
2021-08-18,46
2021-08-19,33
2021-08-20,20
2021-08-21,32
2021-08-22,21
2021-08-23,35
2021-08-24,20
2021-08-25,26
2021-08-26,32
2021-08-27,21
2021-08-28,33
2021-08-29,23
2021-08-30,37
2021-08-31,19
2021-09-01,28
2021-09-02,28
2021-09-03,28
2021-09-04,28
2021-09-05,18
2021-09-06,36
2021-09-07,19
2021-09-08,28
2021-09-09,17
2021-09-10,25
2021-09-11,46
2021-09-12,49
2021-09-13,92
2021-09-14,73
2021-09-15,80
2021-09-16,84
2021-09-17,46
2021-09-18,66
2021-09-19,49
2021-09-20,72
2021-09-21,41
2021-09-22,43
2021-09-23,54
2021-09-24,40
2021-09-25,30
2021-09-26,35
2021-09-27,32
2021-09-28,29
2021-09-29,22
2021-09-30,34
2021-10-01,41
2021-10-02,28
2021-10-03,27
2021-10-04,29
2021-10-05,27
2021-10-06,25
2021-10-07,22
2021-10-08,19
2021-10-09,24
2021-10-10,25
2021-10-11,12
2021-10-12,22
2021-10-13,26
2021-10-14,5
2021-10-15,14
2021-10-16,21
2021-10-17,27
2021-10-18,21
2021-10-19,30
2021-10-20,21
2021-10-21,48
2021-10-22,45
2021-10-23,44
2021-10-24,38
2021-10-25,63
2021-10-26,39
